z,mass_track_M0_1e+03_msun,mass_track_M0_1e+06_msun,mass_track_M0_1e+09_msun,mass_track_M0_1e+12_msun,concentration_M0_1e+03,concentration_M0_1e+06,concentration_M0_1e+09,concentration_M0_1e+12
1.979999999999999982e+00,6.231720655179763071e+02,5.620436340859329794e+05,4.685737501074247956e+08,3.084521664129628296e+11,1.236182481755377083e+01,9.996330986222968562e+00,7.569361658102336854e+00,5.130414267155726904e+00
2.009999999999999787e+00,6.183217969587791458e+02,5.567078701200408395e+05,4.627366391444776654e+08,3.025629543491776123e+11,1.224463730098483794e+01,9.904848519702742493e+00,7.505201554228521310e+00,5.096432942879531858e+00
2.040000000000000036e+00,6.135032287212357005e+02,5.514159728084673407e+05,4.569649423540148139e+08,2.967796057589089355e+11,1.212881956216448032e+01,9.814434006444445302e+00,7.441794262456908449e+00,5.062845186829248334e+00
2.069999999999999840e+00,6.087163263355827212e+02,5.461677869016528130e+05,4.512581686548427343e+08,2.911004777484244995e+11,1.201436029063545696e+01,9.725079412544799240e+00,7.379134808816498747e+00,5.029648786581897291e+00
2.100000000000000089e+00,6.039610484933667749e+02,5.409631494311142014e+05,4.456158206166549325e+08,2.855239410766026611e+11,1.190124873881147671e+01,9.636777119658317403e+00,7.317218488432954970e+00,4.996841672880129259e+00
2.129999999999999893e+00,5.992373473761679179e+02,5.358018901448050747e+05,4.400373950502470732e+08,2.800483807150388794e+11,1.178947469411397364e+01,9.549519903550882205e+00,7.256040850608298065e+00,4.964421911487501227e+00
2.160000000000000142e+00,5.945451689689207342e+02,5.306838319214849034e+05,4.345223835664181113e+08,2.746721963567832336e+11,1.167902845224337582e+01,9.463300913506039080e+00,7.195597684485478318e+00,4.932387695376649894e+00
2.189999999999999947e+00,5.898844533586694752e+02,5.256087911652335897e+05,4.290702731052587032e+08,2.693938028769336853e+11,1.156990079150458861e+01,9.378113652524067589e+00,7.135885005258340463e+00,4.900737337229440271e+00
2.219999999999999751e+00,5.852551350195323039e+02,5.205765781811589841e+05,4.236805464374193549e+08,2.642116307481105957e+11,1.146208294811157735e+01,9.293951958257956392e+00,7.076899040890246795e+00,4.869469262229597639e+00
2.250000000000000000e+00,5.806571430846087196e+02,5.155869975332952454e+05,4.183526826388601065e+08,2.591241264136476746e+11,1.135556659240121924e+01,9.210809984634272141e+00,7.018636219307402335e+00,4.838582001129720034e+00
2.279999999999999805e+00,5.760904016055104648e+02,5.106398483856199891e+05,4.130861575404881835e+08,2.541297526211605225e+11,1.125034380589093708e+01,9.128682184110514797e+00,6.961093156035191853e+00,4.808074183575751448e+00
2.310000000000000053e+00,5.715548298001627927e+02,5.057349248270655517e+05,4.078804441540081501e+08,2.492269887189886169e+11,1.114640705911927476e+01,9.047563290523745749e+00,6.904266642248266805e+00,4.777944531673202100e+00
2.339999999999999858e+00,5.670503422894796586e+02,5.008720161813492887e+05,4.027350130752336979e+08,2.444143309178560181e+11,1.104374919021229395e+01,8.967448302488550738e+00,6.848153633207093804e+00,4.748191853780379112e+00
2.370000000000000107e+00,5.625768493234816106e+02,4.960509073023938108e+05,3.976493328660306334e+08,2.396902925199516296e+11,1.094236338412284759e+01,8.888332467305158247e+00,6.792751237055823843e+00,4.718815038514954097e+00
2.399999999999999911e+00,5.581342569973892296e+02,4.912713788560690009e+05,3.926228704160017371e+08,2.350534041174967651e+11,1.084224315249286086e+01,8.810211265341367337e+00,6.738056703958005045e+00,4.689813048961002373e+00
2.429999999999999716e+00,5.537224674581977979e+02,4.865332075889402186e+05,3.876550912849497795e+08,2.305022137627447510e+11,1.074338231409247690e+01,8.733080394854365380e+00,6.684067415548512692e+00,4.661184917064563393e+00
2.459999999999999964e+00,5.493413791022059058e+02,4.818361665846693213e+05,3.827454600271077752e+08,2.260352871112377319e+11,1.064577497579277399e+01,8.656935757221024375e+00,6.630780874681621029e+00,4.632929738206452264e+00
2.489999999999999769e+00,5.449908867639438768e+02,4.771800255086802645e+05,3.778934404980576038e+08,2.216512075400398865e+11,1.054941551403198474e+01,8.581773442547586228e+00,6.578194695456769381e+00,4.605046665941875617e+00
2.520000000000000018e+00,5.406708818969245840e+02,4.725645508416624507e+05,3.730984961452161074e+08,2.173485762425607300e+11,1.045429855673753217e+01,8.507589715631507232e+00,6.526306593504749287e+00,4.577534906896906008e+00
2.549999999999999822e+00,5.363812527466127449e+02,4.679895061024560127e+05,3.683600902827138901e+08,2.131260123014904785e+11,1.036041896566933396e+01,8.434381002250631809e+00,6.475114376518710024e+00,4.550393715812646178e+00
2.580000000000000071e+00,5.321218845159866078e+02,4.634546520608318388e+05,3.636776863514467478e+08,2.089821527412749329e+11,1.026777181915193360e+01,8.362143875756570921e+00,6.424615935015388857e+00,4.523622390728338161e+00
2.609999999999999876e+00,5.278926595240494635e+02,4.589597469406510354e+05,3.590507481650390625e+08,2.049156525614774475e+11,1.017635239516559587e+01,8.290875043950917345e+00,6.374809233313171397e+00,4.497220268295238910e+00
2.639999999999999680e+00,5.236934573576194225e+02,4.545045466138599440e+05,3.544787401424167156e+08,2.009251847522933960e+11,1.008615615476882610e+01,8.220571336224937298e+00,6.325692300714900185e+00,4.471186719213615213e+00
2.669999999999999929e+00,5.195241550167204423e+02,4.500888047857576748e+05,3.499611275276494026e+08,1.970094402934105225e+11,9.997178725826799450e+00,8.151229690944784778e+00,6.277263222884114313e+00,4.445521143785533980e+00
2.699999999999999734e+00,5.153846270538674617e+02,4.457122731719427393e+05,3.454973765976880789e+08,1.931671281373380737e+11,9.909415887022452907e+00,8.082847143065981399e+00,6.229520133404646387e+00,4.420222967576655115e+00
2.729999999999999982e+00,5.112747457075313946e+02,4.413747016673269100e+05,3.410869548585883379e+08,1.893969751782612915e+11,9.822863552128961118e+00,8.015420811962448155e+00,6.182461205514260705e+00,4.395291637180541500e+00
2.759999999999999787e+00,5.071943810300517157e+02,4.370758385075868573e+05,3.367293312307806015e+08,1.856977262074189758e+11,9.737517754524141367e+00,7.948947889456738025e+00,6.136084644003966915e+00,4.370726616079357640e+00
2.790000000000000036e+00,5.031434010102480556e+02,4.328154304233973962e+05,3.324239762239192724e+08,1.820681438559409485e+11,9.653374631929528604e+00,7.883425628039630872e+00,6.090388677275512919e+00,4.346527380595200718e+00
2.819999999999999840e+00,4.991216716909736988e+02,4.285932227877805708e+05,3.281703621018125415e+08,1.785070085260296936e+11,9.570430411358223921e+00,7.818851329268498240e+00,6.045371549550207391e+00,4.322693415926543992e+00
2.850000000000000089e+00,4.951290572818353439e+02,4.244089597568793106e+05,3.239679630379115939e+08,1.750131183113204651e+11,9.488681394257923785e+00,7.755222332335180546e+00,6.001031513223162861e+00,4.299224212264610934e+00
2.879999999999999893e+00,4.911654202672984866e+02,4.202623844044567668e+05,3.198162552618119121e+08,1.715852889072019958e+11,9.408123941836795012e+00,7.692536002795374195e+00,5.957366821357515718e+00,4.276119260984748038e+00
2.909999999999999698e+00,4.872306215103790237e+02,4.161532388503996190e+05,3.157147171971966624e+08,1.682223535118396912e+11,9.328754460561722084e+00,7.630789721452667429e+00,5.914375720314003715e+00,4.253378050908064978e+00
2.939999999999999947e+00,4.833245203521197482e+02,4.120812643834946794e+05,3.116628295916295648e+08,1.649231627185961914e+11,9.250569387820236855e+00,7.569980873391601861e+00,5.872056442511877528e+00,4.231000064628942070e+00
2.969999999999999751e+00,4.794469747070327230e+02,4.080462015787339187e+05,3.076600756385868192e+08,1.616865844005079956e+11,9.173565177738669973e+00,7.510106837155158033e+00,5.830407199317569678e+00,4.208984774904124038e+00
3.000000000000000000e+00,4.755978411546836355e+02,4.040477904093847610e+05,3.037059410920932889e+08,1.585115035874338074e+11,9.097738287150853864e+00,7.451164974063132718e+00,5.789426174058254659e+00,4.187331641099369506e+00
3.029999999999999805e+00,4.717769750275867864e+02,4.000857703540624934e+05,2.997999143743151426e+08,1.553968223364614563e+11,9.023085161713231273e+00,7.393152617669042748e+00,5.749111515157857788e+00,4.166040105689868156e+00
3.060000000000000053e+00,4.679842304955648729e+02,3.961598804990158533e+05,2.959414866764414907e+08,1.523414595961187439e+11,8.949602222163397514e+00,7.336067063353886475e+00,5.709461329393522355e+00,4.145109590810733380e+00
