z,mass_track_M0_1e+03_msun,mass_track_M0_1e+06_msun,mass_track_M0_1e+09_msun,mass_track_M0_1e+12_msun,concentration_M0_1e+03,concentration_M0_1e+06,concentration_M0_1e+09,concentration_M0_1e+12
2.639999999999999680e+00,6.350781441698225080e+02,5.033374742462759023e+05,3.519614524982982874e+08,1.944404355894449158e+11,9.951856283813636850e+00,6.880892085568579120e+00,5.127985768866542671e+00,4.236804470153503033e+00
2.669999999999999929e+00,6.315319631344081017e+02,4.990443852518711356e+05,3.474085541173520684e+08,1.905459797274179077e+11,9.862131458373216475e+00,6.828308599518797983e+00,5.098440403203043481e+00,4.228211414290978354e+00
2.699999999999999734e+00,6.280027290652842566e+02,4.947840072212998057e+05,3.429104667009415030e+08,1.867263979827670288e+11,9.774823940645601894e+00,6.777168350643058226e+00,5.069758529559773130e+00,4.219859723014952380e+00
2.729999999999999982e+00,6.244904250917638819e+02,4.905561904183562146e+05,3.384666521502047777e+08,1.829803656666978760e+11,9.689843087783330589e+00,6.727418643315067115e+00,5.041910225573071891e+00,4.211745397622689957e+00
2.759999999999999787e+00,6.209950323422391421e+02,4.863607825236921781e+05,3.340765733328399658e+08,1.793065768493377075e+11,9.607101728909555050e+00,6.679008634798345057e+00,5.014866441752001691e+00,4.203863988167428900e+00
2.790000000000000036e+00,6.175165300223047780e+02,4.821976287842754973e+05,3.297396942859399915e+08,1.757037443150701599e+11,9.526516089937132392e+00,6.631889313529747199e+00,4.988599012407825661e+00,4.196210671281228599e+00
2.819999999999999840e+00,6.140548954898504235e+02,4.780665721566400025e+05,3.254554804076436162e+08,1.721705995042147522e+11,9.448005713224723934e+00,6.586013472707423766e+00,4.963080662211750926e+00,4.188780321338254176e+00
2.850000000000000089e+00,6.106101043272540210e+02,4.739674534442055156e+05,3.212233986381329298e+08,1.687058924420103760e+11,9.371493372513173270e+00,6.541335679422436655e+00,4.938285008475283178e+00,4.181567574954654809e+00
2.879999999999999893e+00,6.071821304108085542e+02,4.699001114289309480e+05,3.170429176304875016e+08,1.653083916558128967e+11,9.296904983707007020e+00,6.497812239681453939e+00,4.914186559352441641e+00,4.174566888958471722e+00
2.909999999999999698e+00,6.037709459775023788e+02,4.658643829975517583e+05,3.129135079118726254e+08,1.619768840813599548e+11,9.224169512147607719e+00,6.455401159744460493e+00,4.890760708240688537e+00,4.167772592068003767e+00
2.939999999999999947e+00,6.003765216892741137e+02,4.618601032626390224e+05,3.088346420355215073e+08,1.587101749589109192e+11,9.153218877069283721e+00,6.414062104249393492e+00,4.867983724710563287e+00,4.161178930593838032e+00
2.969999999999999751e+00,5.969988266948483897e+02,4.578871056787070120e+05,3.048057947239429355e+08,1.555070877200201721e+11,9.083987853944586632e+00,6.373756351619710436e+00,4.845832742326588338e+00,4.154780108532425409e+00
3.000000000000000000e+00,5.936378286892593223e+02,4.539452221535808058e+05,3.008264430037679076e+08,1.523664638656607666e+11,9.016413975414293347e+00,6.334446747254895094e+00,4.824285743737104504e+00,4.148570322451669234e+00
3.029999999999999805e+00,5.902934939711631159e+02,4.500342831552321441e+05,2.968960663326277733e+08,1.492871628363736572e+11,8.950437431468264649e+00,6.296097654992583337e+00,4.803321543412175210e+00,4.142543791585238999e+00
3.060000000000000053e+00,5.869657874980300676e+02,4.461541178142734570e+05,2.930141467184344530e+08,1.462680618750774231e+11,8.886000969499436408e+00,6.258674907307909763e+00,4.782919768399453986e+00,4.136694783555590504e+00
3.089999999999999858e+00,5.836546729393106716e+02,4.423045540222974960e+05,2.891801688314201832e+08,1.433080558831394348e+11,8.823049794800168044e+00,6.222145754684271779e+00,4.763060837450813878e+00,4.131017636138949456e+00
3.120000000000000107e+00,5.803601127276592706e+02,4.384854185262356186e+05,2.853936201092712879e+08,1.404060572702728882e+11,8.761531472010965160e+00,6.186478814552859973e+00,4.743725938849914670e+00,4.125506775471316168e+00
3.149999999999999911e+00,5.770820681082948340e+02,4.346965370189040550e+05,2.816539908556795716e+08,1.375609957987914124e+11,8.701395827970230812e+00,6.151644020158538950e+00,4.724897007244704739e+00,4.120156731075049983e+00
3.179999999999999716e+00,5.738204991865802640e+02,4.309377342258952558e+05,2.779607743326146603e+08,1.347718184227238770e+11,8.642594856351733412e+00,6.117612569668520628e+00,4.706556699760792384e+00,4.114962148062517144e+00
3.209999999999999964e+00,5.705753649738901458e+02,4.272088339889673516e+05,2.743134668466101289e+08,1.320374891222615356e+11,8.585082624416470409e+00,6.084356875799596942e+00,4.688688371642729891e+00,4.109917796848095328e+00
3.239999999999999769e+00,5.673466234318393617e+02,4.235096593460768345e+05,2.707115678293403387e+08,1.293569887339823914e+11,8.528815182148596463e+00,6.051850516200329544e+00,4.671276051641837235e+00,4.105018580673585937e+00
3.270000000000000018e+00,5.641342315149380511e+02,4.198400326081879903e+05,2.671545799127513468e+08,1.267293147772712860e+11,8.473750473991676913e+00,6.020068184787287890e+00,4.654304417341409206e+00,4.100259541225732995e+00
3.299999999999999822e+00,5.609381452117365825e+02,4.161997754329969175e+05,2.636420089989984035e+08,1.241534812773321686e+11,8.419848253353251266e+00,5.988985644199911640e+00,4.637758770584222923e+00,4.095635862598640209e+00
3.330000000000000071e+00,5.577583195845236332e+02,4.125887088956898078e+05,2.601733643254299462e+08,1.216285185851616669e+11,8.367070000001424646e+00,5.958579679506842197e+00,4.621625013142763194e+00,4.091142873828997217e+00
3.359999999999999876e+00,5.545947088076298996e+02,4.090066535568579566e+05,2.567481585248472393e+08,1.191534731948349915e+11,8.315378840438382824e+00,5.928828053267978682e+00,4.605889622750245493e+00,4.086776050208348998e+00
3.389999999999999680e+00,5.514472662043983746e+02,4.054534295276824851e+05,2.533659076812568605e+08,1.167274075584325714e+11,8.264739471301348672e+00,5.899709462031070828e+00,4.590539629590236537e+00,4.082531013554548949e+00
3.419999999999999929e+00,5.483159442828701913e+02,4.019288565324985539e+05,2.500261313813255727e+08,1.143493998989168549e+11,8.215118085811743853e+00,5.871203494319061633e+00,4.575562593324342231e+00,4.078403531603995269e+00
3.449999999999999734e+00,5.452006947702371917e+02,3.984327539688433171e+05,2.467283527617360353e+08,1.120185440212495270e+11,8.166482303267834197e+00,5.843290590144858854e+00,4.560946580721258137e+00,4.074389516667382694e+00
