z,mass_msun,concentration_ludlow16
1.272705380396363051e+00,4.821705362133762207e+11,6.054343382601347301e+00
1.288068206612024369e+00,4.776052953271254883e+11,6.031525282914478758e+00
1.303616477497730131e+00,4.730241114703665161e+11,6.008570671449210643e+00
1.319352431556031657e+00,4.684275203543083496e+11,5.985479897111730452e+00
1.335278334310440407e+00,4.638160712646652832e+11,5.962253353464472383e+00
1.351396478631603060e+00,4.591903270574033813e+11,5.938891480713560433e+00
1.367709185067406130e+00,4.545508641437812500e+11,5.915394767776767537e+00
1.384218802177070939e+00,4.498982724643462524e+11,5.891763754434618861e+00
1.400927706869274258e+00,4.452331554515558472e+11,5.867999033567410372e+00
1.417838304744356348e+00,4.405561299806830444e+11,5.844101253480901370e+00
1.434953030440661470e+00,4.358678263086792603e+11,5.820071120323465408e+00
1.452274347985049285e+00,4.311688880006694336e+11,5.795909400597619943e+00
1.469804751147648192e+00,4.264599718437500000e+11,5.771616923768781326e+00
1.487546763800883909e+00,4.217417477477781982e+11,5.747194584974207210e+00
1.505502940282847923e+00,4.170148986328342285e+11,5.722643347835063565e+00
1.523675865765043325e+00,4.122801203030552979e+11,5.697964247374615709e+00
1.542068156624578856e+00,4.075381213065374756e+11,5.673158393045533820e+00
1.560682460820848716e+00,4.027896227810172119e+11,5.648226971869294566e+00
1.579521458276767598e+00,3.980353582850488892e+11,5.623171251690727068e+00
1.598587861264595400e+00,3.932760736144063721e+11,5.597992584550666173e+00
1.617884414796430192e+00,3.885125266034453735e+11,5.572692410179699074e+00
1.637413897019412090e+00,3.837454869111763916e+11,5.547272259615922074e+00
1.657179119615692420e+00,3.789757357918094482e+11,5.521733758949685544e+00
1.677182928207237467e+00,3.742040658495468140e+11,5.496078633198050234e+00
1.697428202765514316e+00,3.694312807774105225e+11,5.470308710311843292e+00
1.717917858026127176e+00,3.646581950799099731e+11,5.444425925317868398e+00
1.738654843908450598e+00,3.598856337793727417e+11,5.418432324598980721e+00
1.759642145940335300e+00,3.551144321057722778e+11,5.392330070314276469e+00
1.780882785687936787e+00,3.503454351699109497e+11,5.366121444961868825e+00
1.802379821190737808e+00,3.455794976198339844e+11,5.339808856086174060e+00
1.824136347401811298e+00,3.408174832803699951e+11,5.313394841131729329e+00
1.846155496633409276e+00,3.360602647757138672e+11,5.286882072445093783e+00
1.868440439007922116e+00,3.313087231349935913e+11,5.260273362426291399e+00
1.890994382914290339e+00,3.265637473807809448e+11,5.233571668830791168e+00
1.913820575469912466e+00,3.218262341005392456e+11,5.206780100222789365e+00
1.936922302988140832e+00,3.170970870010137939e+11,5.179901921580118085e+00
1.960302891451417118e+00,3.123772164456103516e+11,5.152940560050635277e+00
1.983965706990114208e+00,3.076675389748272095e+11,5.125899610859534050e+00
2.007914156367163638e+00,3.029689768098355713e+11,5.098782843366382878e+00
2.032151687468529921e+00,2.982824573393355713e+11,5.071594207270169186e+00
2.056681789799612137e+00,2.936089125898412476e+11,5.044337838959878972e+00
2.081507994987624066e+00,2.889492786795864868e+11,5.017018068007457643e+00
2.106633877290050805e+00,2.843044952562678223e+11,4.989639423799123286e+00
2.132063054109238021e+00,2.796755049188775635e+11,4.962206642300139414e+00
2.157799186513197132e+00,2.750632526239179688e+11,4.934724672947090163e+00
2.183845979762687239e+00,2.704686850763162537e+11,4.907198685660675075e+00
2.210207183844667522e+00,2.658927501053995361e+11,4.879634077970760764e+00
2.236886594012193363e+00,2.613363960263218384e+11,4.852036482244132642e+00
2.263888051330814388e+00,2.568005709873807983e+11,4.824411773003959070e+00
2.291215443231582327e+00,2.522862223036869507e+11,4.796766074328281171e+00
2.318872704070726432e+00,2.477942957776970825e+11,4.769105767313275734e+00
2.346863815696092814e+00,2.433257350071561584e+11,4.741437497584920280e+00
2.375192808020407664e+00,2.388814806810360107e+11,4.713768182840810006e+00
2.403863759601473138e+00,2.344624698640920410e+11,4.686105020401438281e+00
2.432880798229361208e+00,2.300696352707050781e+11,4.658455494747901326e+00
2.462248101520698285e+00,2.257039045287110596e+11,4.630827385020163334e+00
2.491969897520117883e+00,2.213661994339651794e+11,4.603228772447213402e+00
2.522050465308977252e+00,2.170574351964218140e+11,4.575668047677066141e+00
2.552494135621428129e+00,2.127785196785541992e+11,4.548153917971237803e+00
2.583305291467908660e+00,2.085303526269799805e+11,4.520695414224348063e+00
2.614488368766175075e+00,2.043138248981904297e+11,4.493301897765508812e+00
2.646047856979945045e+00,2.001298176793268738e+11,4.465983066893509879e+00
2.677988299765254876e+00,1.959792017049814453e+11,4.438748963092991495e+00
2.710314295624606462e+00,1.918628364710404663e+11,4.411609976873425154e+00
2.743030498569027031e+00,1.877815694466183777e+11,4.384576853166844757e+00
2.776141618788106058e+00,1.837362352851745911e+11,4.357660696214054497e+00
2.809652423328135029e+00,1.797276550359308167e+11,4.330872973862041952e+00
2.843567736778416233e+00,1.757566353567479858e+11,4.304225521187905024e+00
2.877892441965867132e+00,1.718239677296451416e+11,4.277730543356446979e+00
2.912631480658007366e+00,1.679304276801802063e+11,4.251400617609726318e+00
2.947789854274435406e+00,1.640767740019338989e+11,4.225248694277241590e+00
2.983372624606877466e+00,1.602637479873733215e+11,4.199288096685034333e+00
3.019384914547948107e+00,1.564920726663852539e+11,4.173532519830571275e+00
3.055831908828700705e+00,1.527624520538009644e+11,4.147996027678077624e+00
3.092718854765070802e+00,1.490755704072508850e+11,4.122693048915629710e+00
3.130051063013343793e+00,1.454320914967036133e+11,4.097638371000919655e+00
3.167833908334734438e+00,1.418326578870607300e+11,4.072847132307086504e+00
3.206072830369203430e+00,1.382778902351908569e+11,4.048334812163155938e+00
3.244773334418597166e+00,1.347683866027969971e+11,4.024117218565666398e+00
3.283940992239262613e+00,1.313047217865135498e+11,4.000210473318519533e+00
3.323581442844212308e+00,1.278874466666382904e+11,3.976630994337514213e+00
3.363700393314988712e+00,1.245170875758990173e+11,3.953395474833583112e+00
3.404303619623308297e+00,1.211941456896563873e+11,3.930520859065381511e+00
3.445396967462640347e+00,1.179190964389328308e+11,3.908024314326693283e+00
3.486986353089823076e+00,1.146923889476487579e+11,3.885923198807793799e+00
3.529077764176824061e+00,1.115144454954344940e+11,3.864235024942171748e+00
3.571677260672798671e+00,1.083856610073639984e+11,3.842977417821140662e+00
3.614790975676544171e+00,1.053064025719383392e+11,3.822168068228842142e+00
3.658425116319498294e+00,1.022770089886163635e+11,3.801824679819332697e+00
3.702585964659373285e+00,9.929779034616520691e+10,3.781964909925981999e+00
3.747279878584600432e+00,9.636902763306144714e+10,3.762606303461523360e+00
3.792513292729677410e+00,9.349097238114093018e+10,3.743766219335319612e+00
3.838292719401580122e+00,9.066384634364884949e+10,3.725461748782890492e+00
3.884624749517332276e+00,8.788784120879632568e+10,3.707709624972112650e+00
3.931516053552917889e+00,8.516311834987551880e+10,3.690526123220911892e+00
3.978973382503631306e+00,8.248980861293174744e+10,3.673926951133666741e+00
4.027003568856035720e+00,7.986801214292904663e+10,3.657927127937656397e+00
4.075613527571630534e+00,7.729779824928396606e+10,3.642540852277833974e+00
4.124810257082414111e+00,7.477920531156944275e+10,3.627781357707674736e+00
4.174600840298459126e+00,7.231224072612191772e+10,3.613660755096402166e+00
4.224992445627639981e+00,6.989688089420741272e+10,3.600189861158303195e+00
4.275992328007680143e+00,6.753307125232000732e+10,3.587378012297777197e+00
4.327607829950652629e+00,6.522072634510429382e+10,3.575232862953789059e+00
4.379846382600097066e+00,6.295972994130429840e+10,3.563760167618279517e+00
4.432715506800878558e+00,6.074993519305202484e+10,3.552963545693301306e+00
4.486222814181978435e+00,5.859116483871154022e+10,3.542844228339402601e+00
4.540376008252349216e+00,5.648321144940094757e+10,3.533400786449639064e+00
4.595182885510002535e+00,5.442583771921158600e+10,3.524628838856799451e+00
4.650651336564468608e+00,5.241877679904436493e+10,3.516520739840907961e+00
4.706789347272821722e+00,5.046173267387528992e+10,3.509065244944699291e+00
4.763604999889421876e+00,4.855438058315821838e+10,3.502247154020354358e+00
4.821106474229511996e+00,4.669636748396498108e+10,3.496046930313272405e+00
4.879302048846883899e+00,4.488731255635110474e+10,3.490440294229566476e+00
4.938200102225747123e+00,4.312680775032823181e+10,3.485397790222938497e+00
4.997809113986997787e+00,4.141441837371127319e+10,3.480884324961388998e+00
5.058137666109027819e+00,3.974968371999925232e+10,3.476858674581590591e+00
5.119194444163287727e+00,3.813211773533618927e+10,3.473272958391744769e+00
5.180988238564756543e+00,3.656120972348986053e+10,3.470072075824206959e+00
5.243527945837516135e+00,3.503642508767601776e+10,3.467193102743859168e+00
5.306822569895581765e+00,3.355720610794977570e+10,3.464564642360488556e+00
5.370881223339212696e+00,3.212297275277778625e+10,3.462106124939191787e+00
5.435713128766859192e+00,3.073312352330359268e+10,3.459727049211890559e+00
5.501327620102966165e+00,2.938703632871676636e+10,3.457326156811098894e+00
5.567734143941764913e+00,2.808406939104050064e+10,3.454790529109385222e+00
5.634942260907325640e+00,2.682356217755620956e+10,3.451994593463871386e+00
5.702961647030014625e+00,2.560483635899680328e+10,3.448799022922762525e+00
5.771802095139551447e+00,2.442719679155395889e+10,3.445049509793126852e+00
5.841473516274898969e+00,2.328993252066461945e+10,3.440575388891192521e+00
5.911985941111169041e+00,2.219231780446741486e+10,3.435188080513738473e+00
5.983349521403756199e+00,2.113361315475156784e+10,3.428679315792558135e+00
6.055574531449881448e+00,2.011306639315738297e+10,3.411376632470493941e+00
6.128671369567809002e+00,1.912991372033115387e+10,3.391358350798987065e+00
6.202650559593894997e+00,1.818338079568923569e+10,3.371672604396289685e+00
6.277522752397730166e+00,1.727268382540282822e+10,3.352313959207749772e+00
6.353298727415539027e+00,1.639703065618181610e+10,3.333277040236466426e+00
6.429989394202117126e+00,1.555562187240814209e+10,3.314556533101427949e+00
6.507605794001501742e+00,1.474765189415182686e+10,3.296147185476002051e+00
6.586159101336573229e+00,1.397231007359238243e+10,3.278043808409337512e+00
6.665660625617879198e+00,1.322878178736553192e+10,3.260241277533559856e+00
6.746121812771850301e+00,1.251624952236371613e+10,3.242734534159656512e+00
6.827554246888706935e+00,1.183389395253289604e+10,3.225518586265180065e+00
